Economy Name,Economy Code,Time,Ease of doing business score (DB15 methodology) [IC.BUS.EASE.DFRN.DB15],Getting electricity (DB10-15 methodology) - Score [IC.ELC.ACES.DFRN.DB1015],Starting a business - Score [IC.REG.STRT.BUS.DFRN],Trading across borders: Cost to export (US$ per container deflated) (DB06-15 methodology) [TRD.ACRS.BRDR.EXPT.COST.CD.DB0615]
Argentina,ARG,2020,..,..,80.43345,..
Argentina,ARG,2019,..,..,81.99463,..
Argentina,ARG,2018,..,..,73.55496,..
Argentina,ARG,2017,..,..,73.50675,..
Argentina,ARG,2016,..,..,73.28105,..
Argentina,ARG,2015,..,72.43636,72.38827,1770
Argentina,ARG,2014,..,72.60032,71.59336,1956
Argentina,ARG,2013,..,72.62174,72.57711,2309.1
Argentina,ARG,2012,..,72.59909,72.18382,2427.6
Argentina,ARG,2011,..,72.56301,71.69677,2852.7
Argentina,ARG,2010,..,72.56561,72.09767,3134.7
Argentina,ARG,2009,..,..,71.09508,3799.7
Argentina,ARG,2008,..,..,72.37114,4001.7
Argentina,ARG,2007,..,..,71.96451,4613.4
Argentina,ARG,2006,..,..,71.71488,5103.3
Argentina,ARG,2005,..,..,72.40219,..
Argentina,ARG,2004,..,..,63.74967,..
Bolivia,BOL,2020,..,..,69.36413,..
Bolivia,BOL,2019,..,..,69.12483,..
Bolivia,BOL,2018,..,..,67.8197,..
Bolivia,BOL,2017,..,..,63.48932,..
Bolivia,BOL,2016,..,..,62.31104,..
Bolivia,BOL,2015,..,65.33137,61.09118,1440
Bolivia,BOL,2014,..,64.82486,60.24975,1526.5
Bolivia,BOL,2013,..,64.48022,59.94513,1615.1
Bolivia,BOL,2012,..,63.88289,58.02454,1850.3
Bolivia,BOL,2011,..,63.40525,56.79679,2012.7
Bolivia,BOL,2010,..,62.77376,56.98285,1964
Bolivia,BOL,2009,..,..,55.42697,2167.9
Bolivia,BOL,2008,..,..,52.62697,2327.8
Bolivia,BOL,2007,..,..,50.71137,2645.8
Bolivia,BOL,2006,..,..,49.55046,2803
Bolivia,BOL,2005,..,..,44.6671,..
Bolivia,BOL,2004,..,..,44.49723,..
Chile,CHL,2020,..,..,91.42747,..
Chile,CHL,2019,..,..,89.07767,..
Chile,CHL,2018,..,..,87.20883,..
Chile,CHL,2017,..,..,87.20963,..
Chile,CHL,2016,..,..,87.21102,..
Chile,CHL,2015,..,85.04338,87.21092,910
Chile,CHL,2014,..,85.03697,87.2079,991.6
Chile,CHL,2013,..,85.02378,87.07107,1009.3
Chile,CHL,2012,..,84.9879,86.49475,846.5
Chile,CHL,2011,..,84.97028,78.02239,863.3
Chile,CHL,2010,..,84.95007,77.13887,896.5
Chile,CHL,2009,..,..,77.06254,900.8
Chile,CHL,2008,..,..,76.92797,817.6
Chile,CHL,2007,..,..,76.77287,922.4
Chile,CHL,2006,..,..,76.20696,992
Chile,CHL,2005,..,..,76.24356,..
Chile,CHL,2004,..,..,75.97929,..
Colombia,COL,2020,..,..,87.02499,..
Colombia,COL,2019,..,..,85.31232,..
Colombia,COL,2018,..,..,85.31542,..
Colombia,COL,2017,..,..,85.30554,..
Colombia,COL,2016,..,..,83.5548,..
Colombia,COL,2015,..,74.63919,84.40899,2355
Colombia,COL,2014,..,74.0515,84.40541,2407.4
Colombia,COL,2013,..,65.20715,84.40104,2469.3
Colombia,COL,2012,..,64.96643,84.59442,2658.1
Colombia,COL,2011,..,64.74657,83.75759,2178.2
Colombia,COL,2010,..,64.69566,81.94933,2252.4
Colombia,COL,2009,..,..,76.23571,2319
Colombia,COL,2008,..,..,71.31939,2095.7
Colombia,COL,2007,..,..,69.54009,2655.7
Colombia,COL,2006,..,..,70.56597,2803.3
Colombia,COL,2005,..,..,70.45178,..
Colombia,COL,2004,..,..,60.57369,..
Costa Rica,CRI,2020,..,..,79.914,..
Costa Rica,CRI,2019,..,..,79.92302,..
