Country Name,Country Code,Time,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",Trade (% of GDP) [NE.TRD.GNFS.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Rural population [SP.RUR.TOTL],Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]",Expenditure on secondary education (% of government expenditure on education) [SE.XPD.SECO.ZS],"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) [SE.TER.CUAT.BA.MA.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.LO.FE.ZS]",CPIA trade rating (1=low to 6=high) [IQ.CPA.TRAD.XQ]
"Venezuela, RB",VEN,1960,..,..,48.58205757,..,..,..,..,3125409,38.387,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1961,..,..,48.65563943,..,2.013730562,3.192519439,..,3133076,37.125,0.245011495,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1962,..,..,49.57933954,..,0.665054138,8.532933763,..,3153257,36.067,0.642061734,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1963,..,..,47.22456969,..,4.91982978,3.900951164,..,3170504,35.023,0.545467887,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1964,..,..,48.1611808,..,-0.366502858,11.12934529,..,3184649,33.991,0.445151308,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1965,..,..,48.2249176,..,2.167208836,4.162866665,..,3196319,32.978,0.365775632,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1966,..,..,44.81399939,..,2.64492683,1.510250111,..,3205024,31.978,0.271974346,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1967,..,..,44.63591592,..,2.434226821,2.833869031,..,3211003,30.995,0.186377075,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1968,..,..,44.78950282,..,1.065099029,7.337232658,..,3213577,30.027,0.080129756,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1969,..,..,44.32513018,..,1.779461779,0.706036796,..,3212835,29.08,-0.023092201,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1970,..,..,42.03690533,..,4.358263178,7.711914381,..,3207857,28.148,-0.155061199,..,..,22.07208,..,..,..,..
"Venezuela, RB",VEN,1971,..,..,44.20066152,..,8.232657592,1.47929121,..,3199126,27.236,-0.272546545,..,..,24.87037,..,..,15.18947,..
"Venezuela, RB",VEN,1972,..,..,43.26916198,..,6.268776819,1.282805036,..,3196816,26.425,-0.072233304,..,..,25.68135,..,..,..,..
"Venezuela, RB",VEN,1973,..,..,47.82097662,..,11.20039449,7.109957895,..,3197492,25.675,0.021143805,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1974,..,..,61.47531051,..,50.10796879,2.069333202,..,3196164,24.937,-0.041541178,..,..,23.29068,..,..,..,..
"Venezuela, RB",VEN,1975,..,..,57.84924385,..,2.262998149,2.89625778,..,3193708,24.214,-0.076871653,..,..,18.55287,..,..,..,..
"Venezuela, RB",VEN,1976,..,..,58.58960505,..,6.193544324,7.727739847,..,3190012,23.504,-0.115794565,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1977,..,..,62.1484079,..,8.448427271,6.270783513,..,3185414,22.811,-0.144241367,..,..,17.29184,..,..,..,..
"Venezuela, RB",VEN,1978,..,..,61.36058204,..,6.086675328,2.346896372,..,3179201,22.132,-0.195235752,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1979,..,..,58.32114645,..,21.94557925,0.764355145,..,3170949,21.467,-0.259899519,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1980,..,..,57.36822436,..,28.02723954,-4.421322364,..,3160260,20.815,-0.337660948,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1981,..,..,55.40640515,..,12.60637591,-0.362810903,..,3147653,20.18,-0.399720693,..,..,..,..,..,27.4,..
"Venezuela, RB",VEN,1982,..,..,53.05759644,..,4.284503482,-2.071006071,..,3142327,19.618,-0.169348751,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1983,..,..,35.71051871,..,3.635256583,-3.764817123,..,3139488,19.093,-0.090387896,..,..,9.80441,..,..,..,..
"Venezuela, RB",VEN,1984,..,..,42.61267116,..,42.55125659,1.442164633,..,3135354,18.578,-0.131764293,..,..,6.62191,..,..,..,..
"Venezuela, RB",VEN,1985,..,..,39.44059164,..,10.42021083,0.193300161,..,3130503,18.075,-0.154839185,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1986,..,..,39.0019257,..,-1.17682324,6.510345028,..,3124673,17.582,-0.18640568,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1987,..,..,42.30574609,..,37.44452465,3.581649938,..,3117797,17.1,-0.220297503,..,..,4.59564,..,..,..,..
"Venezuela, RB",VEN,1988,..,..,46.37203518,..,18.49765997,5.82136842,..,3109244,16.628,-0.274705285,..,..,4.94084,..,..,..,..
"Venezuela, RB",VEN,1989,..,..,53.42731969,..,89.16312359,-8.569882013,..,3098643,16.167,-0.341533611,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1990,..,..,57.70721738,..,41.74065713,6.467940853,..,3085470,15.716,-0.426027788,..,..,4.6246,..,..,23.36972,..
"Venezuela, RB",VEN,1991,..,..,55.71963976,..,21.44961643,9.729887977,..,3081971,15.336,-0.113466846,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1992,97.820203,85.79200544,53.4761392,..,28.24406236,6.060473262,..,3081186,14.988,-0.025473958,..,..,2.72439,..,..,..,..
"Venezuela, RB",VEN,1993,98.26727295,91.11602968,52.39018552,..,31.64582415,0.275388158,..,3078556,14.648,-0.085393192,..,..,2.44068,..,..,..,..
"Venezuela, RB",VEN,1994,98.3341217,90.82647635,51.444814,..,62.89068458,-2.349507928,..,3073867,14.314,-0.15242778,..,..,1.92502,..,..,..,..
"Venezuela, RB",VEN,1995,99,94.69499433,47.34234294,..,51.75990183,3.951662724,..,3067281,13.986,-0.214487667,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1996,98.47380829,90.51908693,55.97242779,..,115.5247179,-0.197837257,..,3058775,13.664,-0.27769924,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1997,98.7,92.20936406,51.24503641,..,33.94745993,6.370931401,..,3048839,13.35,-0.32536466,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1998,98.4,92.39868959,43.59939293,..,18.8902867,0.294055161,..,3037062,13.041,-0.387026168,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1999,98.9,94.78968449,42.07023048,..,26.19271006,-5.970458146,..,3023981,12.738,-0.431642551,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2000,98.9,91.86206038,47.85722155,..,29.45282511,3.686944167,..,3009782,12.441,-0.470652434,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2001,99.9,99.17695464,42.14126802,..,7.996904056,3.394236108,..,2994546,12.15,-0.507501679,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2002,99.8,99.8,48.57571065,..,33.02287608,-8.855647353,..,3043173,12.124,1.610808699,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2003,95.7,66.258032,50.57700738,..,34.93375574,-7.75530005,..,3091235,12.098,1.566996635,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2004,99.1,94.23293936,55.3674556,..,33.95372434,18.28660669,..,3138309,12.072,1.511343239,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2005,98.88994598,92.19073058,60.12732976,..,29.60405935,10.3179138,..,3184053,12.046,1.447079375,..,..,..,..,..,..,..
"Venezuela, RB",VEN,2006,99.3,95.14603193,58.66559156,..,17.90431555,9.872149109,..,3227393,12.02,1.351977702,..,8.24842,17.62346,..,..,47.73976,..
